source_id,target_id,source,licence,version
uniprot:Q9W0V7,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P51406,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9W1U4,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9V3Y0,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VT50,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q8I0P1,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9V5M6,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P27779,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q95RV2,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VJ87,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9W223,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VUB4,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:B7Z0W9,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VQF9,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VW71,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q01583,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q5BI42,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P26308,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P39018,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P91641,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9V7W1,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9XZL8,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P13060,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:O77150,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VDT6,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9W328,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VFS2,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
