source_id,target_id,source,licence,version
ncbigene:44548,uniprot:Q9V5M6,uniprot,CC BY 4.0,2024_03
ncbigene:40354,uniprot:P27779,uniprot,CC BY 4.0,2024_03
ncbigene:42881,uniprot:Q95RV2,uniprot,CC BY 4.0,2024_03
ncbigene:35099,uniprot:Q9VJ87,uniprot,CC BY 4.0,2024_03
ncbigene:37594,uniprot:Q9W223,uniprot,CC BY 4.0,2024_03
ncbigene:39550,uniprot:Q9VUB4,uniprot,CC BY 4.0,2024_03
ncbigene:7354434,uniprot:B7Z0W9,uniprot,CC BY 4.0,2024_03
ncbigene:3772677,uniprot:Q9VQF9,uniprot,CC BY 4.0,2024_03
ncbigene:40191,uniprot:Q9VW71,uniprot,CC BY 4.0,2024_03
ncbigene:35738,uniprot:Q01583,uniprot,CC BY 4.0,2024_03
ncbigene:37298,uniprot:Q5BI42,uniprot,CC BY 4.0,2024_03
ncbigene:32544,uniprot:P26308,uniprot,CC BY 4.0,2024_03
ncbigene:32635,uniprot:P39018,uniprot,CC BY 4.0,2024_03
ncbigene:43952,uniprot:P91641,uniprot,CC BY 4.0,2024_03
ncbigene:19835383,uniprot:Q9V7W1,uniprot,CC BY 4.0,2024_03
ncbigene:47384,uniprot:Q9XZL8,uniprot,CC BY 4.0,2024_03
ncbigene:35422,uniprot:P13060,uniprot,CC BY 4.0,2024_03
ncbigene:49802,uniprot:O77150,uniprot,CC BY 4.0,2024_03
ncbigene:42359,uniprot:Q9VDT6,uniprot,CC BY 4.0,2024_03
ncbigene:31903,uniprot:Q9W328,uniprot,CC BY 4.0,2024_03
ncbigene:41678,uniprot:Q9VFS2,uniprot,CC BY 4.0,2024_03
ncbigene:37605,uniprot:Q86BF9,uniprot,CC BY 4.0,2024_03
ncbigene:32027,uniprot:Q9VZ49,uniprot,CC BY 4.0,2024_03
ncbigene:4379864,uniprot:Q4V516,uniprot,CC BY 4.0,2024_03
ncbigene:37785,uniprot:O77459,uniprot,CC BY 4.0,2024_03
ncbigene:37191,uniprot:P28286,uniprot,CC BY 4.0,2024_03
ncbigene:37782,uniprot:O77475,uniprot,CC BY 4.0,2024_03
ncbigene:42850,uniprot:Q9VCE1,uniprot,CC BY 4.0,2024_03
ncbigene:49080,uniprot:P35005,uniprot,CC BY 4.0,2024_03
ncbigene:43973,uniprot:O46107,uniprot,CC BY 4.0,2024_03
ncbigene:36187,uniprot:P81921,uniprot,CC BY 4.0,2024_03
ncbigene:36046,uniprot:Q7JXF7,uniprot,CC BY 4.0,2024_03
ncbigene:39492,uniprot:Q9VU52,uniprot,CC BY 4.0,2024_03
ncbigene:44014,uniprot:P27398,uniprot,CC BY 4.0,2024_03
ncbigene:44258,uniprot:A0A0B4KGY6,uniprot,CC BY 4.0,2024_03
ncbigene:39202,uniprot:Q02870,uniprot,CC BY 4.0,2024_03
ncbigene:41302,uniprot:Q9VGW1,uniprot,CC BY 4.0,2024_03
ncbigene:36142,uniprot:Q7KR04,uniprot,CC BY 4.0,2024_03
ncbigene:41043,uniprot:Q9VHM2,uniprot,CC BY 4.0,2024_03
ncbigene:32228,uniprot:Q9I7S8,uniprot,CC BY 4.0,2024_03
ncbigene:39393,uniprot:P18167,uniprot,CC BY 4.0,2024_03
ncbigene:33858,uniprot:Q9VMH7,uniprot,CC BY 4.0,2024_03
ncbigene:45382,uniprot:P27716,uniprot,CC BY 4.0,2024_03
ncbigene:48338,uniprot:Q9VG95,uniprot,CC BY 4.0,2024_03
ncbigene:35851,uniprot:P18502,uniprot,CC BY 4.0,2024_03
ncbigene:40388,uniprot:P55035,uniprot,CC BY 4.0,2024_03
ncbigene:43456,uniprot:Q9VAM9,uniprot,CC BY 4.0,2024_03
ncbigene:44272,uniprot:Q9U3V5,uniprot,CC BY 4.0,2024_03
ncbigene:318013,uniprot:P82984,uniprot,CC BY 4.0,2024_03
ncbigene:31519,uniprot:Q9W462,uniprot,CC BY 4.0,2024_03
ncbigene:42830,uniprot:Q7KS38,uniprot,CC BY 4.0,2024_03
ncbigene:32796,uniprot:Q94981,uniprot,CC BY 4.0,2024_03
ncbigene:42885,uniprot:Q9VCA9,uniprot,CC BY 4.0,2024_03
ncbigene:31105,uniprot:O76902,uniprot,CC BY 4.0,2024_03
ncbigene:42652,uniprot:Q9VCZ3,uniprot,CC BY 4.0,2024_03
ncbigene:43229,uniprot:P08985,uniprot,CC BY 4.0,2024_03
ncbigene:32573,uniprot:Q9VXK0,uniprot,CC BY 4.0,2024_03
ncbigene:34250,uniprot:Q24152,uniprot,CC BY 4.0,2024_03
ncbigene:39592,uniprot:Q9VUF8,uniprot,CC BY 4.0,2024_03
ncbigene:32170,uniprot:Q9VYQ7,uniprot,CC BY 4.0,2024_03
ncbigene:41180,uniprot:Q9VH89,uniprot,CC BY 4.0,2024_03
ncbigene:43305,uniprot:Q9VB30,uniprot,CC BY 4.0,2024_03
ncbigene:38125,uniprot:Q08694,uniprot,CC BY 4.0,2024_03
ncbigene:33223,uniprot:Q9Y149,uniprot,CC BY 4.0,2024_03
ncbigene:33487,uniprot:O76927,uniprot,CC BY 4.0,2024_03
ncbigene:47895,uniprot:Q04448,uniprot,CC BY 4.0,2024_03
ncbigene:48224,uniprot:P12426,uniprot,CC BY 4.0,2024_03
ncbigene:38291,uniprot:Q9W032,uniprot,CC BY 4.0,2024_03
ncbigene:37264,uniprot:Q9V8Y2,uniprot,CC BY 4.0,2024_03
ncbigene:43398,uniprot:P15619,uniprot,CC BY 4.0,2024_03
